1494,2,858,1414,2528,604,8,1583,1,5,3,3,0,4,3558,1925,59,309,49,52,73,422,140,28,28,85,2,284,1127,1460,2922,56,6,12,8,8,1,58,10,10,30,27,44,8,18,24,9,13,124,18,35,19,15,20,4,7,41,42,28,84,8,3,0,0,0,0,2,371,1770,67,96,5,28,826,2699,2485,86,3,79,6,4,2,11,582,2584,571,245,37,91,2,23,4,7,1,0,110,37,8,25,0
0,0,0,0,2651,2170,0,443,4,14,109,0,15,2,893,2307,1173,437,2467,2281,1066,1661,597,6,0,0,0,11,1894,2919,409,12,0,87,14,7,6,20,0,30,20,6,14,31,38,0,8,45,261,20,3,6,27,0,0,42,23,31,34,1,0,0,0,0,4,0,17,28,46,28,31,16,106,54,140,1894,200,32,513,357,12,15,4,337,363,15,22,66,566,58,37,6,20,12,116,0,7,0,8,22
215,0,0,8,16,2915,336,0,20,1735,1237,19,98,1144,2379,1436,4851,2114,693,35,1469,1879,208,1,0,2,0,27,420,778,90,12,1,24,4,2,18,11,0,31,14,5,11,30,10,17,22,29,0,3,19,33,2,5,21,92,50,35,0,0,0,0,0,0,0,21,13,5,3,136,85,22,32,25,45,1318,2083,46,133,17,0,19,0,82,105,0,2,39,321,12,0,4,0,3,33,0,12,0,724,88
1078,0,0,0,15,10,1061,920,820,2269,2053,158,69,1967,2053,2774,2941,2660,672,1293,1889,514,5,0,0,0,9,2276,3981,3281,3687,36,16,3,0,2,134,322,11,62,10,12,19,22,51,11,20,28,66,13,50,546,1,14,115,61,30,0,0,0,0,14,2,8,7,25,0,19,0,31,43,40,9,115,170,42,2,3,15,3,2,129,7,6,4,0,1,18,0,10,5,10,25,16,16,0,19,1,13,0
935,651,0,0,21,194,2,528,1860,44,1763,2322,21,148,2965,1590,1905,3332,1868,60,29,1937,543,0,0,4,312,4308,888,1753,1880,19,30,65,30,12,16,25,3,24,18,26,1,0,45,42,61,16,30,42,9,10,12,14,299,31,19,0,0,0,0,11,26,22,49,8,3,42,480,121,12,24,11,137,232,38,23,21,1,0,11,10,0,18,0,11,8,47,24,6,10,3,21,28,5,12,43,14,4,67
1920,904,0,0,14,1537,304,1093,771,15,5,207,17,417,2797,2231,215,393,17,20,0,636,40,2,1,0,1760,3655,4718,2202,2102,45,49,28,28,26,3,11,52,17,2,5,12,0,38,40,54,66,272,22,3,40,1190,922,1169,3,0,0,0,0,0,33,11,0,19,0,6,44,44,0,14,17,20,11,41,10,83,6,2,11,35,5,11,1,7,0,1,0,811,284,33,20,0,35,0,0,44,103,28,20
151,1064,980,0,0,70,1243,513,56,15,65,21,6,61,1257,37,6,331,21,16,0,926,1332,0,2,12,1415,2225,1799,1358,1558,103,442,15,18,56,1,36,3,0,0,9,34,6,1,6,18,195,141,2,4,387,2331,2005,1863,165,0,0,0,0,0,54,39,0,18,94,15,184,218,6,51,38,0,10,97,2416,1364,6,20,20,18,1,14,0,1,0,67,1,2122,1972,5,1,0,9,60,50,0,16,280,151
1760,146,2056,0,0,7,166,3291,1667,12,0,0,0,10,92,287,0,555,417,3,0,306,1039,0,2,29,8,30,36,65,613,56,860,284,30,94,34,4,29,12,31,17,73,56,175,11,21,1,0,1,0,389,344,4020,359,0,0,0,0,0,186,145,4,28,61,7,3,112,28,520,43,177,1184,8,384,348,1119,1,0,3,0,17,4,13,15,12,5,1,336,45,60,12,12,3,157,419,4,91,14,7
2500,812,3358,1419,89,15,98,304,1406,177,13,701,4,3,47,1500,0,0,1322,145,889,504,1323,1239,94,8,16,14,816,979,3500,166,1683,2434,247,14,5,15,13,77,503,115,12,203,21,11,55,46,35,7,22,224,185,1274,727,48,0,0,0,5,44,13,44,405,1088,24,35,56,18,127,21,75,1055,9,944,31,60,14,5,97,0,1,153,6,2,0,12,74,15,10,47,36,9,8,5,30,34,20,6,5
2020,1078,2151,436,963,370,4304,3356,865,0,25,1550,307,0,1074,452,26,8,0,9,0,5,0,1018,4776,2452,34,5,3772,2679,3937,564,1672,713,1050,18,295,302,755,138,208,11,53,28,39,47,102,826,156,36,37,20,20,18,205,71,0,0,1,66,15,31,55,1375,4177,302,107,23,13,230,35,18,10,30,6,8,34,18,1,8,11,1,65,6,0,19,66,5,2,11,0,3,14,1,3,0,43,145,16,8
