1,7,0,0,0,2,10,476,18,1,1,171,0,2,26,1741,3755,2886,6746,5345,2926,43,0,6,1,2,5,21,1,0,0,5,2,7,2,7,2,3,2,30,84,378,30,8,9,0,0,25,7,0,78,34,22,9,23,9,0,0,17,1,10,9,18,1,0,14,1,4,201,165,456,192,0,4,0,1,313,21,14,0,0,0,4,1,1,0,0,37,11,0,15,10,1,162,334,5,3,6,9,0
0,0,1,4,6,3,1,141,158,159,0,439,665,21,11,390,2158,602,1689,1815,1265,40,0,37,5,1,53,39,418,1,68,18,11,8,13,7,3,0,31,116,16,1536,314,32,15,2,2,12,28,9,14,36,9,8,0,1,2,2,12,39,2,275,439,9,0,0,0,0,0,12,0,26,10,0,10,0,52,18,0,0,2,1,0,3,0,12,0,28,12,1,68,22,7,640,276,114,3,0,26,16
1009,74,0,1,0,1,107,222,44,34,75,7,0,0,255,1,276,3266,5582,3471,1872,91,0,0,26,594,4211,3111,1306,499,889,310,8,4,4,2,0,1,23,36,2466,3524,2825,4,9,4,0,1,11,22,25,30,3,0,0,1,15,1,5,33,59,73,134,0,0,0,0,0,0,0,1,0,0,6,106,285,7,5,3,6,0,0,0,0,0,0,0,1,0,3,2,15,5,3,0,231,62,21,85,177
5,59,0,1,7,30,747,2,3,4,2,0,8,83,2390,1555,678,2284,1743,784,3164,4035,239,85,5,22,631,2203,141,256,22,2,9,350,96,7,7,13,15,7,652,3302,2924,7,0,7,0,10,57,470,0,150,2,0,2,1,1,3,8,82,104,9,3,0,0,0,5,0,2,4,2,6,0,201,31,372,43,11,1,0,9,0,0,0,0,0,0,0,0,0,0,161,95,66,102,44,0,9,107,189
7,1,129,0,0,1,12,5,0,0,4,19,126,373,1259,3733,4326,3543,20,6,805,281,6,1,0,5,4,42,47,4,7,16,4,14,13,0,0,5,5,7,159,1816,1120,12,23,14,8,6,8,24,24,24,24,0,0,10,0,3,3,8,9,37,201,0,1,1,0,0,1,1,21,28,15,123,2,0,8,16,3,2,3,44,1,1,1,2,0,0,0,1,0,0,1,7,11,23,9,10,33,12
0,13,0,449,0,0,1,13,186,0,0,3,5,0,8,1292,2650,4237,309,136,1318,19,14,0,0,15,18,9,9,4,1,3,10,11,6,0,11,12,8,10,111,376,0,6,1,0,4,6,0,9,68,17,257,0,11,0,2,2,0,3,2,239,693,11,18,0,0,0,0,0,13,159,341,511,6,10,5,18,15,22,335,126,7,2,0,1,0,0,0,1,0,15,0,4,26,21,22,26,12,18
0,0,8,4,5,86,12,0,378,64,6,15,0,0,3,0,495,730,411,480,16,41,8,3,10,8,6,11,20,0,0,5,15,1,2,7,0,0,0,6,8,178,34,17,11,19,12,0,6,0,13,0,132,3,0,0,2,0,0,0,0,64,2,1,0,20,2,1,0,0,0,0,4,5,14,4,0,1,2,411,791,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,29,6,240,1
10,73,31,7,10,2,0,0,0,10,2,2,0,52,1,16,3,2494,3736,1251,1,1,20,18,14,19,167,16,0,2,0,14,10,5,0,2,0,3,3,10,18,1176,127,5,13,37,4,2,34,3,3,7,0,55,0,8,1,0,11,0,9,10,6,0,3,1,4,2,0,3,0,0,14,24,0,0,0,0,0,1,2,0,13,35,0,0,0,0,0,0,1,1,5,0,35,526,7,12,49,102
0,20,2,4,8,42,1,573,185,1,3,1,0,19,3,2,22,551,292,2,3,0,2,0,9,25,37,5,0,0,8,3,18,14,22,18,10,12,7,13,591,444,9,11,5,1,0,113,2,10,0,4,3,26,12,5,21,0,0,102,52,7,0,7,0,0,2,5,14,0,0,205,129,1,36,12,0,1,0,1,1,14,6,49,1,0,0,1,0,29,3,1,41,0,6,0,4,8,6,35
10,27,230,0,149,110,0,125,27,7,4,1,0,0,63,59,45,0,0,7,0,0,1,2,0,77,2,10,1,4,7,2,0,15,967,5,4,30,39,728,654,0,5,0,8,8,13,235,42,4,0,11,0,2,4,9,9,0,2,38,25,6,0,1,0,3,0,0,7,17,611,1504,42,0,0,0,2,0,0,0,0,5,7,8,0,2,0,0,0,4,12,51,81,3,19,0,18,34,33,23
0,4,0,1493,105,30,10,0,2,2,1,0,7,2,638,891,1450,2,0,3,3,3,0,2,9,88,0,30,459,20,10,7,5,16,52,0,8,0,18,11,11,0,3,11,3,0,1,1196,240,2,18,1,2,3,8,0,2,4,35,1,1,34,31,3,0,0,0,14,0,24,15,80,0,20,1,0,0,691,12,2,1,1,1,0,0,0,1,0,0,5,0,14,44,6,4,2,7,25,13,3
