6,5,51,711,291,295,0,63,0,7,0,159,46,41,4,4,17,32,3,20,232,929,223,17,55,9,0,3,10,0,8,0,9,20,0,0,19,53,162,248,34,25,9,27,23,34,308,5,708,831,1961,433,859,8,11,126,250,1,3,8,9,14,0,0,16,0,3,32,25,35,146,9,122,385,137,13,88,7,23,5,75,32,134,183,429,139,138,247,162,947,321,35,86,518,38,933,1797,884,38,215
17,11,2,6,46,2,18,26,0,2,0,1,1,4,5,10,111,31,0,15,20,2,13,0,7,15,15,14,8,21,7,11,10,0,137,16,12,206,90,720,1125,42,145,136,114,45,22,186,2195,3620,4391,2392,734,71,45,3,25,12,22,85,647,11,7,0,2,0,7,27,0,7,34,10,128,3,3,44,72,3,55,154,95,407,288,1261,150,93,145,451,836,189,59,31,142,19,0,463,2922,3540,189,449
120,8,3,22,645,838,62,18,0,158,429,16,143,2,64,234,11,0,0,0,3,28,30,58,5,19,5,9,18,0,0,165,35,14,201,10,1,2,52,287,187,23,7,68,62,543,0,26,1826,3335,3729,945,10,6,1,20,2,0,0,6,16,3,0,1328,24,1,12,0,11,7,10,368,12,25,12,10,2,24,83,405,149,27,39,420,923,71,688,598,490,301,1592,153,19,34,17,1266,2474,2071,1187,2387
4,5,21,1,924,159,56,92,49,18,0,0,9,5,1,310,265,3,9,0,62,0,9,0,16,13,6,17,2,0,34,24,3,5,22,17,13,19,3,12,0,25,144,23,11,941,8,7,3462,4126,12,8,1,0,10,71,206,2289,0,225,77,21,0,1024,433,5,6,0,69,4,20,0,1,0,10,614,1203,0,339,105,48,1,99,4,488,455,710,213,1888,3697,1383,26,137,53,9,226,9,410,265,646
79,189,73,22,0,8,12,39,34,376,2,16,0,1,206,1,5,34,0,12,14,0,11,0,0,11,3,2,2580,1659,18,2,0,10,31,25,4,3,6,0,0,0,23,11,0,3,0,0,685,1360,305,42,18,31,249,98,187,424,3,1,4,12,3,3,8,33,124,13,63,21,28,0,3,3,18,125,2025,73,414,128,27,47,141,60,583,494,36,174,809,2974,214,7,97,338,248,139,11,2,62,151
5,22,174,0,578,271,13,0,19,125,12,8,0,8,0,7,6,4,6,13,8,0,4,6,0,3,4,52,2249,499,10,22,0,38,96,14,11,162,87,42,0,0,0,6,9,0,7,1452,263,8,354,0,0,0,59,17,1,670,57,118,0,11,47,0,18,144,0,0,1824,564,12,5,9,4,14,13,31,9,117,88,181,126,113,602,3800,3226,2052,3773,2287,2827,2042,1,34,267,121,34,19,54,73,257
7,9,27,0,465,34,17,17,24,2796,1017,14,31,8,0,1,4,175,0,818,1876,5,2,125,0,3,174,130,107,0,3,137,11,942,1051,6,0,16,3,1,206,183,80,10,7,0,1,549,54,277,637,2,312,10,786,19,68,159,66,454,60,7,212,5,0,7,30,132,6,64,7,61,12,2,14,162,0,55,0,55,254,42,11,412,4736,7144,4334,5432,3829,2132,1144,132,39,36,2,3,18,39,2447,1350
43,5,0,7,25,33,105,46,75,47,14,19,16,0,0,0,2,0,55,2467,2543,7,11,4,6,0,0,7,28,51,10,0,0,30,17,16,2,0,28,0,271,454,3,0,17,4,383,345,571,1141,33,0,24,13,6,13,8,0,3,349,4,368,498,83,0,1,17,15,0,33,10,20,52,59,0,50,5,12,91,242,747,608,27,1505,5176,3062,1582,3285,5904,1870,87,2,171,1329,130,15,976,167,473,456
165,24,65,18,3,77,52,0,3,4,8,0,7,14,117,34,7,3,6,69,132,3,0,0,0,58,20,174,18,152,0,51,0,9,0,104,0,36,109,0,13,13,0,2,1,0,535,208,397,5,0,132,2406,788,13,19,13,158,442,114,102,1148,647,1095,410,0,3,2,2,37,29,20,1,23,32,6,102,63,20,9,618,958,0,1939,2951,1914,908,287,1630,3184,389,5,428,2257,1328,55,1209,510,77,870
120,40,548,260,9,11,12,16,83,73,18,1,11,14,534,978,2,193,7,7,107,5,8,14,884,667,42,285,0,1,11,27,2,21,4,32,1,10,1,2453,1640,7,13,0,0,9,1,43,155,0,6,2715,2835,4120,10,17,16,123,487,598,1016,89,89,1250,71,1,7,6,15,71,14,64,0,0,25,6,6,113,35,436,89,7,15,298,5,16,5,9,552,2205,1631,294,1841,1437,2939,274,62,20,373,3293
10,7,1,43,2,85,13,0,16,47,28,2482,3554,4046,1841,265,3,44,17,1,0,0,2,375,465,139,4,4,0,36,703,4,0,6,0,4,20,7,32,1937,1179,0,11,13,69,185,239,164,361,1174,60,3251,4572,3649,3,41,280,9,11,815,4333,847,41,18,12,7,3,17,3,3,97,12,3,9,6,51,4,32,10,50,4,86,10,23,983,10,4,0,27,1947,2208,1964,642,357,596,104,0,49,36,1226
7,1,4,22,7,20,9,36,335,694,25,541,6101,4057,5127,3707,2532,469,16,232,14,2,2,1099,364,1,12,0,1,23,41,20,56,3,37,18,133,164,886,3970,2788,277,68,154,239,497,163,5,192,345,0,363,1096,339,14,212,144,0,15,32,1068,23,309,34,112,38,13,66,463,73,0,22,60,96,8,8,0,34,27,39,2,25,112,37,1723,736,68,76,310,1068,216,1254,28,3,11,14,9,29,91,882
1,5,20,37,11,2,5,321,1483,710,104,6,3455,5076,3154,4160,3998,3217,230,500,54,3,25,143,22,0,1,26,32,100,1,0,101,59,160,130,435,181,472,1399,1689,14,121,9,25,9,22,4,175,3,9,280,0,24,10,2,8,0,30,44,61,67,3,16,5,11,110,57,36,171,57,2,5,0,19,30,0,5,100,10,2,40,125,106,1965,4314,981,53,366,3241,1576,282,150,7,5,9,92,51,30,1312
33,3,29,16,25,21,56,48,115,122,437,2728,137,1906,4567,4103,689,4202,1627,5,0,1,5,144,7,5,0,4,0,0,0,2,1,2,6,0,0,97,430,79,13,3,18,14,50,1,0,8,26,105,26,341,25,413,6,344,2,1,1885,743,55,167,5,1,4,0,10,4,37,187,275,8,2,12,8,85,11,8,164,37,17,17,37,646,2986,3193,118,119,19,528,289,60,14,51,6,136,969,167,53,666
39,21,238,24,0,23,17,63,38,634,1324,4333,365,2998,2427,7029,2222,2395,3838,928,0,25,4,4,0,3,349,0,0,0,0,12,1,2,0,1,14,100,18,19,3,0,0,0,0,2,0,2,419,337,3,2,280,766,2,159,0,16,44,330,26,10,34,137,33,16,26,16,14,16,30,3,139,232,44,49,21,52,134,11,2,467,88,199,266,295,322,644,1247,682,58,35,2,93,3,426,1684,124,157,182
98,417,16,170,9,57,33,215,99,2,1501,3835,3398,3200,6532,6147,5146,5781,3115,1151,18,33,3,8,9,56,56,0,1,0,0,20,0,0,0,0,0,18,3,30,14,0,0,0,2,1,0,0,1,0,4,17,0,30,3,16,9,17,61,108,14,0,3,36,2,10,30,140,165,93,86,6,18,29,82,26,24,12,93,36,177,149,142,132,164,84,303,301,2056,84,14,211,126,51,59,613,1075,1272,938,193
5,14,3,2,5,0,318,2664,55,4,878,5548,2777,999,5402,4411,2637,5319,4642,728,651,657,94,64,407,0,13,1,0,0,0,0,1,0,3,5,2,0,0,0,0,2,4,0,3,0,0,1,0,0,0,20,0,0,1,7,0,17,154,408,275,6,0,5,17,25,267,117,199,18,42,97,16,17,130,1187,178,43,10,6,8,105,524,7,5,61,161,233,799,303,514,14,1236,696,56,903,511,823,677,304
24,24,9,39,5,12,2497,3318,982,14,84,22,5,4,898,825,1229,389,607,963,385,50,2,5,0,1,5,0,1,0,11,0,35,0,0,3,0,0,3,25,0,4,6,24,0,1,11,291,0,0,1,0,0,0,0,0,1,5,10,6,45,26,11,59,376,42,28,33,213,147,9,56,105,0,13,2363,2387,58,164,5,21,11,61,44,17,93,1507,2751,5072,1537,901,320,2148,2795,4845,6257,3535,216,783,323
28,13,11,17,52,29,737,595,12,2,11,11,13,831,2204,121,69,15,11,48,339,21,97,47,0,0,1,0,8,6,8,0,0,12,0,4,8,0,0,80,0,6,3,39,0,0,2,21,2,323,2,0,4,0,6,3,29,52,80,353,1585,45,20,270,1665,261,8,13,34,164,602,193,12,14,768,2489,2356,62,25,78,45,0,39,118,108,454,4516,5176,4376,3800,835,109,4625,5649,3162,2934,7297,5442,3321,1930
3,8,16,48,8,14,1,29,13,15,0,34,11,344,2797,213,5,55,46,252,10,0,4,10,4,5,44,0,0,14,19,162,6,34,13,1,0,4,6,13,2,18,3,4,3,1,1,0,0,200,0,109,274,2,9,7,3,4,230,751,831,36,23,243,73,1,3,7,118,184,2389,507,11,18,46,112,72,141,53,86,60,115,45,177,207,98,2809,5614,3552,1706,210,207,93,3564,7303,2716,4337,7058,5427,4657
609,171,424,87,39,9,0,18,78,9,6,11,12,23,385,207,600,0,1466,489,0,0,8,0,0,0,3,6,1,0,1,18,882,201,26,1,2,13,2,6,0,6,183,16,16,1,5,6,0,0,0,499,595,27,17,168,56,0,40,29,49,26,8,143,379,74,16,67,48,212,890,364,36,9,69,29,101,1212,76,262,20,75,506,97,16,474,4482,3346,701,624,648,509,165,54,1617,3887,6010,7397,5252,4954
3,496,2260,400,15,21,85,27,164,43,0,0,0,4,14,0,85,4,120,5,0,0,1,0,0,9,0,97,139,4,0,6,1597,398,0,0,0,0,3,35,4,3,91,28,18,6,2,17,23,17,6,0,42,0,11,26,1,23,10,2,132,73,14,139,51,56,7,12,15,37,34,48,20,46,434,88,639,131,1149,1320,160,154,0,11,18,448,1420,15,28,1404,1556,455,2,77,1809,573,384,177,207,2040
6,491,33,26,6,4,46,10,63,161,22,19,58,3,4,1,4,5,66,18,13,0,37,0,11,3,2,228,197,13,40,10,0,0,204,2,37,13,0,12,14,382,13,17,22,237,9,0,220,1,3,3,8,10,7,0,32,5,1,149,14,36,27,693,34,29,0,22,15,398,241,437,927,96,58,6,20,27,432,140,131,60,90,99,112,150,0,12,141,1302,163,245,66,463,593,704,2179,38,1166,1116
