0,0,0,0,0,9,5,4,3,12,12,4,9,8,29,16,11,8,14,84,9,30,6,0,0,3,15,0,2,4,0,4,36,25,17,64,14,6,7,4,7,8,8,54,10,37,38,42,0,7,13,5,0,0,8,29,4,0,1,8,34,421,1241,16,13,10,8,20,33,0,1,20,31,8,14,1,93,17,14,7,7,13,554,112,117,1742,4721,3155,2303,3664,6811,3765,6437,2390,369,705,3483,4883,4886,2740
2,0,0,0,0,14,12,3,12,596,22,8,19,20,15,21,27,21,58,72,114,46,10,9,9,7,224,16,7,13,2,18,25,14,13,14,0,1,8,11,21,0,1,12,8,22,8,142,6,8,15,3,13,1,27,16,14,0,0,13,25,14,3,5,11,21,3,11,43,7,18,24,0,7,6,47,113,199,3,20,10,176,1030,41,29,58,1041,1744,3140,3108,4456,1030,1316,5260,3490,3557,3204,3918,3087,3063
0,6,0,0,4,3,3,20,9,31,26,14,35,5,33,1,5,36,37,13,57,32,163,0,5,14,3,16,14,106,30,99,11,3,0,8,10,2,8,4,0,3,6,4,17,18,49,38,5,3,3,15,0,38,15,14,53,0,9,0,0,20,23,8,20,23,14,54,65,38,32,5,9,23,13,9,14,17,59,6,3,36,13,6,64,35,325,2249,4490,4746,5860,4332,2445,2799,4441,5635,3167,4519,821,4018
4,9,6,6,21,4,3,0,14,14,15,51,214,7,3,23,15,51,36,9,7,1,817,10,5,6,3,7,3,0,0,13,16,11,21,1,5,11,7,12,19,1,0,0,0,15,36,10,19,8,23,17,47,29,13,23,23,6,2,91,2,1,0,0,19,7,14,6,10,34,92,3,14,18,14,11,18,27,27,3,31,9,20,11,5,10,192,57,5065,3958,5175,6195,4882,1605,3130,3087,2172,4755,5381,2502
14,3,5,19,25,13,81,31,4,4,1,7,4,0,32,10,186,55,3,226,9,4,15,0,11,2,3,45,62,5,8,14,5,3,0,5,0,3,2,14,1,0,0,0,10,153,199,22,0,11,74,38,4,8,15,16,75,0,29,0,16,3,1,24,20,36,3,48,7,6,64,9,4,72,0,207,114,274,32,64,70,1,40,102,39,12,107,365,3464,2793,1272,1161,4869,2815,1504,3504,3283,1581,4412,5295
35,3,25,13,19,2,20,11,6,10,4,7,8,16,21,49,520,4,6,15,4,19,11,52,6,7,122,293,26,33,4,62,26,0,0,5,0,4,9,12,3,0,0,0,72,667,15,0,1,15,9,12,4,17,9,8,4,13,8,8,12,15,18,24,31,24,68,27,15,56,429,92,34,15,43,40,41,25,39,10,44,32,26,276,143,151,18,504,309,199,854,3119,4841,4220,3788,3966,3348,2859,558,4670
54,26,98,12,18,15,25,15,25,23,67,19,11,23,52,25,40,1,19,24,29,1,13,10,31,28,9,183,90,13,19,12,9,0,2,6,9,9,56,22,0,0,0,0,172,2146,609,0,0,25,34,18,40,62,31,9,8,100,0,15,0,10,85,38,0,6,13,33,21,52,3756,2642,541,378,57,2,9,50,6,659,62,12,33,7,115,119,1587,2625,30,156,842,3602,2716,4918,3308,4510,5794,3355,1447,5228
16,41,28,573,3,17,93,17,3,15,824,1125,309,31,3,26,36,19,4,6,7,5,6,3,57,14,14,33,0,2,9,25,5,2,7,21,65,21,72,24,6,0,0,2,183,97,13,139,14,43,134,108,7,10,6,1,20,12,7,23,20,18,9,8,15,9,22,3,29,16,740,1497,2588,4,121,17,3,6,26,14,8,111,28,29,100,645,4397,2545,15,77,1119,1920,4792,3801,3126,3253,3980,4994,1181,3556
3,15,65,217,19,0,21,33,11,820,2060,1644,34,18,26,11,37,45,21,24,62,8,15,51,16,29,23,23,13,23,5,13,2,69,39,0,3,21,7,29,0,0,0,2,199,15,21,52,7,4,9,74,5,25,5,1,33,15,8,2,0,7,19,10,12,9,17,10,32,42,73,197,137,57,22,5,15,39,28,16,31,26,102,28,6,145,570,602,58,114,2509,4848,4563,4764,2738,2558,4340,1556,2046,5631
15,5,10,29,4,5,6,16,430,2731,1013,39,12,2,320,15,48,32,7,44,122,10,10,0,1,19,20,14,2,4,26,9,4,40,0,0,8,17,2,4,0,0,9,29,26,13,12,8,40,5,3,8,10,2,18,5,15,47,4,3,11,0,42,10,9,10,68,19,22,20,9,114,272,111,48,18,3,11,33,36,227,60,26,39,7,30,712,718,1466,123,870,2798,4493,4591,1192,4082,5900,2877,1009,3077
